Aaberg	'o:-%b{rg
demonstrere	d@-mOn-'stre:-r@
demonstreres	d@-mOn-'stre:-r@s
demonstrert	d@-mOn-'stre:t`
demontering	'de:-mOn-%te:-rIN
demontert	'de:-mUn-%te:t`
demonutdrivelse	d@-'mu:n-}:t-%dri:-vl=-s@
demonutdrivelsen	d@-'mu:n-}:t-%dri:-vl=-sn=
demonutdrivinga	d@-'mu:n-}:t-%dri:-vIN-A
demoraliserendes	'de:-mU-rA-lI-%se:-n`=-@s
demoralisering	'de:-mU-rA-lI-%se:-rIN
demoraliserts	'de:-mU-rA-lI-%se:t`s`
demoralske	'de:-mU-%rA:l-sk@
dempere	"dEm-p@-r@
dempetes	"dEm-p@-t@s
dempningskraften	"dEmp-nINs-%krAf-tn=
dempningskrafts	"dEmp-nINs-%krAfts
demrende	"dEm-r@-n@
demrer	"dEm-r@r
demrets	"dEm-r@ts
demringstids	"dEm-rINs-%ti:ds
denaturerte	d@-nA-tu0-'re:-t`@
denaturerts	d@-nA-tu0-'re:t`s`
denes	"de:-@-n@s
dengendes	"dEN-@-n@s
denger	"dEN-@r
denges	"dEN-@s
deniers	d@-nI-'e:s
denne	"dE-n@	functional
dennes	"dE-n@s	functional
Denni	'dE-nI
denominativa	d@-'nU-mI-nA-%ti:-vA
denominativ	d@-'nU-mI-nA-%ti:v
denotatives	d@-'nu:-tA-%ti:-v@s
denoterte	d@-nU-'te:-t`@
denotertes	d@-nU-'te:-t`@s
dentalenes	d@n-'tA:-ln=-@s
dentaler	d@n-'tA:-l@r
denudertes	d@-nu0-'de:-t`@s
deodoranter	d@-U-dU-'rAn-t@r
deoksiderendes	'de:-Ok-sI-%de:-n`=-@s
deoksiderts	'de:-Ok-sI-%de:t`s`
deoksyribonukleinsyra	'de:-Ok-sY-ri:-bU-nu0-kl@-i:n-%sy:-rA
departementer	d@-pAt`@-'mAN-@r
departementers	d@-pAt`@-'mAN-@s`
departements	d@-pAt`@-'mANs
departementsnivå	d@-pA-t`@-'mANs-nI-%vo:
departementsrådas	d@-pA-t`@-'mANs-%ro:-dAs
departementssjefen	d@-pA-t`@-'mANs-%Se:-f@n
departementssjefene	d@-pA-t`@-'mANs-%Se:-f@-n@
departementssjefens	d@-pA-t`@-'mANs-%Se:-f@ns
Depeche	d@-'pe:-kE
depesjer	d@-'pe:-S@r
deplasements	d@-plA-s@-'mANs
deponer	d@-pU-'ne:r
deponerende	d@-pU-'ne:-n`=-@
deponertes	d@-pU-'ne:-t`@s
deponiavgiften	d@-pU-'ni:-A:v-%jIf-tn=
deportasjon	d@-pO-t`A-'Su:n
deportasjonene	d@-pO-t`A-'Su:-nn=-@
deportasjoners	d@-pO-t`A-'Su:-n@s`
deporter	d@-pO-'t`e:r
depositaenes	d@-'pu:-sI-tA-@-n@s
depositumas	d@-'pu:-sI-tu0-mAs
depositumene	d@-'pu:-sI-tu0-m@-n@
depotavdelingas	d@-'pu:-Av-%de:-lIN-As
depotavdeling	d@-'pu:-Av-%de:-lIN
depotavdelingen	d@-'pu:-Av-%de:-lIN-@n
depotavdelingenes	d@-'pu:-Av-%de:-lIN-@-n@s
depotavdelingens	d@-'pu:-Av-%de:-lIN-@ns
depoter	d@-'pu:-@r
depoters	d@-'pu:-@s`
depotsjefen	d@-'pu:-%Se:-f@n
depravasjon	d@-prA-vA-'Su:n
depravasjonenes	d@-prA-vA-'Su:-nn=-@s
depravasjoners	d@-prA-vA-'Su:-n@s`
depresjonene	d@-pr@-'Su:-nn=-@
depresjonenes	d@-pr@-'Su:-nn=-@s
depresjonsperiodens	d@-pr@-'Su:ns-p@-rI-%u:-dn=s
depresjonstiden	d@-pr@-'Su:ns-%ti:-dn=
deprimere	d@-prI-'me:-r@
deprivatiseres	'de:-prI-vA-tI-se:-r@s
deprivatisertes	'de:-prI-vA-tI-se:-t`@s
deranger	d@-rAN-'Se:r
derav	'dE-%rA:v
der	"de:-@r
D-er	"de:-@r
dere	"de:-r@	functional
deregulert	'de:-r@-gu0-%le:t`
dereliksjon	d@-r@-lIk-'Su:n
derelikter	d@-r@-'lIk-t@r
dereliktet	d@-r@-'lIk-t@
dereliktets	d@-r@-'lIk-t@ts
derelinkver	d@-r@-lIN-'kve:r
derelinkveres	d@-r@-lIN-'kve:-r@s
deres	"de:-r@s	functional
derfra	'd{r-frA	functional
deri	'dE-%ri:
derimot	'd{-rI-%mu:t	functional
derivasjonene	d@-rI-vA-'Su:-nn=-@
derivatets	d@-rI-'vA:-t@ts
deriverbars	d@-rI-'ve:r-%bA:s`
deriver	d@-rI-'ve:r
derivering	d@-rI-'ve:-rIN
dernest	'd{-n`@st
derom	'd{-rUm
deromkring	'd{r-Om-%krIN
derrikene	'd{-rI-k@-n@
derrikkranas	'd{-rIk-%krA:-nAs
dersom	'dE-%s`Om	functional
dertil	'dE-%t`Il	functional
dervisjen	'd{:r-vI-Sn=
dervisjene	'd{:r-vI-Sn=-@
dervisjers	'd{:r-vI-s`@s`
desarmering	d@-sAr-'me:-rIN
desarmerte	d@-sAr-'me:-t`@
desavuer	d@-sA-vu0-'e:r
desavuere	d@-sA-vu0-'e:-r@
desavuert	d@-sA-vu0-'e:t`
desavuertes	d@-sA-vu0-'e:-t`@s
descendens	d@-s@n-'dEns
descendensene	d@-s@n-'dEn-sn=-@
descendensteoris	d@-s@n-'dEns-t@-U-%ri:s
desentrale	'de:-s@n-%trA:-l@
desentraliseringskreftene	d@-s@n-trA-lI-'se:-rINs-%krEf-tn=-@
desentralisert	'de:-s@n-trA-lI-%se:t`
desersjonene	d@-s@-'s`u:-nn=-@
desertasjonen	d@-s@-t`A-'Su:-nn=
desertasjonene	d@-s@-t`A-'Su:-nn=-@
desertasjonenes	d@-s@-t`A-'Su:-nn=-@s
deserteringers	d@-s@-'t`e:-rIN-@s`
deserterings	d@-s@-'t`e:-rINs
desibelens	'de:-sI-%bElns
design	d@-'sA*In
designene	d@-'sA*I-nn=-@
designeren	d@-'sA*I-n@-n`=
designes	d@-'sA*I-n@s
designetes	d@-'sA*I-n@-t@s
desigrammas	'de:-sI-%grA-mAs
desigrams	'de:-sI-%grAms
desiliteren	'de:-sI-%li:-t@-n`=
desiliters	'de:-sI-%li:-t@s`
desillusjonertes	'dE-sI-lu0-SU-%ne:-t`@s
desimalbrøkens	d@-sI-'mA:l-%br2:-k@ns
desimalbrøker	d@-sI-'mA:l-%br2:-k@r
desimalbrøkers	d@-sI-'mA:l-%br2:-k@s`
desimalkarakterer	d@-sI-'mA:l-kA-rAk-%te:-r@r
desimalkommaer	d@-sI-'mA:l-%kO-mA-@r
desimalregning	d@-sI-'mA:l-%r{*I-nIN
desimalreknings	d@-sI-'mA:l-%rE-knINs
desimals	d@-sI-'mA:ls
desimalsystemenes	d@-sI-'mA:l-sY-%ste:-m@-n@s
desimaltalla	d@-sI-'mA:l-%tA-lA
desimaltallet	d@-sI-'mA:l-%tA-l@
desimaltalls	d@-sI-'mA:l-%tAls
desimen	d@-"si:-m@n
desinfeksjon	'dE-sIn-f@k-%Su:n
desinfeksjonsmiddelet	d@-sIn-f@k-'Su:ns-%mI-dl=-@
desinformasjoner	'dE-sIn-fOr-mA-%Su:-n@r
desinformasjoners	'dE-sIn-fOr-mA-%Su:-n@s`
desinformer	'dE-sIn-fOr-%me:r
desinformere	'dE-sIn-fOr-%me:-r@
desinformering	'dE-sIn-fOr-%me:-rIN
desinformert	'dE-sIn-fOr-%me:t`
desintegratorenes	d@-sIn-t@-'grA:-tU-n`=-@s
desintegrere	d@-sIn-t@-'gre:-r@
deskenes	"dE-sk@-n@s
deskriptivs	'dE-skrIp-%ti:vs
desks	'dEsks
desmerdyra	'dE-sm@r-%dy:-rA
desmerdyrenes	'dE-sm@r-%dy:-n`=-@s
desmeren	'dE-sm@-n`=
Desmond	'dE-smOn
desoksiderendes	'dE-sOk-sI-%de:-n`=-@s
desoksyribonukleinsyren	'dE-sOk-sY-ri:-bU-nu0-kl@-i:n-%sy:-n`=
desoksyribonukleinsyrene	'dE-sOk-sY-ri:-bU-nu0-kl@-i:n-%sy:-n`=-@
desoksyribonukleinsyrenes	'dE-sOk-sY-ri:-bU-nu0-kl@-i:n-%sy:-n`=-@s
desoksyribonukleinsyrers	'dE-sOk-sY-ri:-bU-nu0-kl@-i:n-%sy:-r@s`
desorganisering	'dE-sOr-gA-nI-%se:-rIN
desorientering	'dE-sO-rI-@n-%te:-rIN
desperadoens	d@-sp@-'rA:-dU-@ns
desperadoer	d@-sp@-'rA:-dU-@r
desperadoers	d@-sp@-'rA:-dU-@s`
desperasjonen	d@-sp@-rA-'Su:-nn=
despoti	d@-spU-'ti:
despotis	d@-spU-'ti:s
despots	d@-'spu:ts
dess	'dEs
desse	"dE-s@	functional
dessertgaflene	d@-'s{:r-%gA-fln=-@
dessertgenerasjon	d@-'s{:r-g@-n@-rA-%Su:n
dessertgenerasjonens	d@-'s{:r-g@-n@-rA-%Su:-nn=s
dessertglasenes	d@-'s{:r-%glA:-sn=-@s
dessertglassa	d@-'s{:r-%glA-sA
desserts	d@-'s{:s`
dessertskeia	d@-'s{:r-%S{*I-A
dessertvinen	d@-'s{:r-%vi:-nn=
dessuten	'dE-%s}:-tn=
destillasjonsapparaters	d@-stI-lA-'Su:ns-A-pA-%rA:-t@s`
destillasjonsapparatet	d@-stI-lA-'Su:ns-A-pA-%rA:-t@
destillatets	d@-stI-'lA:-t@ts
destillatør	d@-stI-lA-'t2:r
destillats	d@-stI-'lA:ts
destillerer	d@-stI-'le:-r@r
destroyerens	d@-'strO*Y-@rn`S
destruerende	d@-stru0-'e:-n`=-@
destruerer	d@-stru0-'e:-r@r
destrueres	d@-stru0-'e:-r@s
destruering	d@-stru0-'e:-rIN
destruert	d@-stru0-'e:t`
destruksjonen	d@-stru0k-'Su:-nn=
destruksjonenes	d@-stru0k-'Su:-nn=-@s
destruksjoners	d@-stru0k-'Su:-n@s`
destruksjonsverks	d@-stru0k-'Su:ns-%v{rks
destruktiveres	'dE-stru0k-tI-v@-r@s
detaljanalysene	d@-'tAlj-A-nA-%ly:-sn=-@
detaljanalysenes	d@-'tAlj-A-nA-%ly:-sn=-@s
detaljanalyses	d@-'tAlj-A-nA-%ly:-s@s
detaljbehandlas	d@-'tAlj-b@-%hAn-lAs
detaljbehandle	d@-'tAlj-b@-%hAn-l@
detaljbehandles	d@-'tAlj-b@-%hAn-l@s
detaljerendes	d@-tAl-'je:-n`=-@s
detaljers	d@-'tAl-j@s`
detaljhandels	d@-'tAlj-%hAn-d@ls
detaljhandlenes	d@-'tAlj-%hAn-dl=-n@s
detaljhandler	d@-'tAlj-%hAnd-l@r
detaljist	d@-tAl-'jIst
detaljistenes	d@-tAl-'jI-stn=-@s
detaljistens	d@-tAl-'jI-stn=s
detaljkunnskaper	d@-'tAlj-ku0n-%skA:-p@r
detaljplanlegginger	d@-'tAlj-plA:n-%lE-gIN-@r
detaljpris	d@-'tAlj-%pri:s
detaljprosjekteringen	d@-'tAlj-prU-S@k-%te:-rIN-@n
detaljrikdommen	d@-'tAlj-ri:k-%dO-m@n
detaljriks	d@-'tAlj-%ri:ks
detaljstyre	d@-'tAlj-%sty:-r@
detaljstyring	d@-'tAlj-%sty:-rIN
detasjement	d@-tA-S@-'mAN
detasjementers	d@-tA-s`@-'mAN-@s`
detasjementets	d@-tA-S@-'mAN-@ts
detasjements	d@-tA-S@-'mANs
detasjer	d@-tA-'Se:r
detasjerer	d@-tA-'Se:-r@r
detasjering	d@-tA-'Se:-rIN
det	'de:	functional
detektiv	'dE-t@k-%ti:v
detektorene	d@-'tEk-tU-n`=-@
detektors	d@-'tEk-tUs`
determinantene	d@-t@r-mI-'nAn-tn=-@
determinanters	d@-t@r-mI-'nAn-t@s`
determinativ	d@-'t{r-mI-nA-%ti:v
determinativers	d@-'t{r-mI-nA-%ti:-v@s`
determinatives	d@-'t{r-mI-nA-%ti:-v@s
determinativs	d@-'t{r-mI-nA-%ti:vs
determinere	d@-t@r-mI-'ne:-r@
determinismes	d@-t@r-mI-'nI-sm@s
determinist	d@-t@r-mI-'nIst
deterministisk	d@-t@r-mI-'nI-stIsk
Detlev	'dEt-l@v
detonasjoner	d@-tU-nA-'Su:-n@r
detonatorene	d@-tU-'nA:-tU-n`=-@
detoner	d@-tU-'ne:r
detronisering	d@-trU-nI-'se:-rIN
detroniserte	d@-trU-nI-'se:-t`@
dets	'dEts	functional
dette	"dE-t@	functional
dettes	"dE-t@s	functional
dettets	"dE-t@ts
deuteriumoksida	dE*u0-'te:-rI-u0-mOk-%si:-dA
deuteriumoksidene	dE*u0-'te:-rI-u0-mOk-%si:-dn=-@
deuteriumoksider	dE*u0-'te:-rI-u0-mOk-%si:-d@r
deuteriumoksiders	dE*u0-'te:-rI-u0-mOk-%si:-d@s`
deuteronet	d9*Y-t@-'ru:-n@
deuteronets	d9*Y-t@-'ru:-n@ts
deuterons	d9*Y-t@-'ru:ns
devaluert	d@-vA-lu0-'e:t`
devaluerts	d@-vA-lu0-'e:t`s`
deviasjoners	d@-vI-A-'Su:-n@s`
devisen	d@-"vi:-sn=
devisenes	d@-"vi:-sn=-@s
devonformasjon	'dE-v@n-fOr-mA-%Su:n
Dezsø	'dE-s9
Dhaka	'dA-kA
diabetikerer	dI-A-'be:-tI-k@-r@r
diabetikernes	dI-A-'be:-tI-k@r-n`@s
diabetiske	dI-A-'be:-tI-sk@
diademas	dI-A-'de:-mAs
diafonens	dI-A-'fu:-nn=s
diafonien	dI-A-fU-'ni:-@n
diafragmaets	dI-A-'frAg-mA-@ts
diagnose	dI-A-"gnu:-s@
diagnosegrupper	dI-A-"gnu:-s@-%gru0-p@r
diagnosen	dI-Ag-"nu:-sn=
diagnosers	dI-A-"gnu:-s@s`
diagnostikeres	dI-A-'gnO-stI-k@-r@s
diagnostiserer	dI-A-gnO-stI-'se:-r@r
diagnostisertes	dI-A-gnO-stI-'se:-t`@s
diagnostiske	dI-A-'gnO-stI-sk@
diagonaldekka	dI-A-gU-'nA:l-%dE-kA
diagonale	dI-A-gU-'nA:-l@
diagonalenes	dI-A-gU-'nA:-ln=-@s
diagonalers	dI-A-gU-'nA:-l@s`
diagonalgangers	dI-A-gU-'nA:l-%gAN-@s`
diagonalvevde	dI-A-gU-'nA:l-%vEv-d@
diakonheimenes	dI-A-'ku:n-%h{*I-m@-n@s
diakonhjemmenes	dI-A-'ku:n-%jE-m@-n@s
Diakonhjemmet	dI-A-'ku:n-%jE-m@
diakonissa	dI-A-kU-"nI-sA
diakonissehus	dI-A-kU-"nI-s@-%h}:s
diakonissehusenes	dI-A-kU-"nI-s@-%h}:-sn=-@s
diakonisser	dI-A-kU-"nI-s@r
Diakonveien	dI-A-'ku:n-%v{*I-@n
diakron	dI-A-'kru:n
diakronien	dI-A-krU-'ni:-@n
diakroniske	dI-A-'kru:-nI-sk@
diakroniskes	dI-A-'kru:-nI-sk@s
diakronisks	dI-A-'kru:-nIsks
dialektale	dI-A-l@k-'tA:-l@
dialektane	dI-A-'lEk-tA-n@
dialektatlasers	dI-A-'lEkt-At-%lA-s@s`
dialektbruk	dI-A-'lEkt-%br}:k
dialektbruken	dI-A-'lEkt-%br}:-k@n
dialekter	dI-A-'lEk-t@r
dialektfarga	dI-A-'lEkt-%fAr-gA
dialektfargets	dI-A-'lEkt-%fAr-g@ts
dialektikerers	dI-A-'lEk-tI-k@-r@s`
dialektinnslag	dI-A-'lEkt-In-%SlA:g
dialektkarters	dI-A-'lEkt-%kA-t`@s`
dialektologene	dI-A-l@k-tU-'lo:-g@-n@
dialektologens	dI-A-l@k-tU-'lo:-g@ns
dialektologer	dI-A-l@k-tU-'lo:-g@r
dialektstudier	dI-A-'lEkt-%st}:-dI-@r
dialektstudiets	dI-A-'lEkt-%st}:-dI-@ts
dialektstudium	dI-A-'lEkt-%st}:-dI-u0m
dialogene	dI-A-'lo:-g@-n@
dialogens	dI-A-'lo:-g@ns
dialogforfatter	dI-A-'lo:g-fOr-%fA-t@r
dialogpartier	dI-A-'lo:g-pA-%t`i:-@r
dialysens	dI-A-"ly:-sn=s
dialyser	dI-A-lY-'se:r
dialysere	dI-A-lY-'se:-r@
diamantboring	dI-A-'mAnt-%bu:-rIN
diamantboringene	dI-A-'mAnt-%bu:-rIN-@-n@
diamantboringers	dI-A-'mAnt-%bu:-rIN-@s`
diamantbryllupenes	dI-A-'mAnt-%brY-lu0-p@-n@s
diamanters	dI-A-'mAn-t@s`
diamantfelt	dI-A-'mAnt-%fElt
diamantgraverne	dI-A-'mAnt-%grA:-v@-n`@
diamantnålen	dI-A-'mAnt-%no:-ln=
diamantplates	dI-A-'mAnt-%plA:-t@s
diamants	dI-A-'mAnts
diameter	'di:-A-%me:-t@r
diametere	'di:-A-%me:-t@-r@
diameters	'di:-A-%me:-t@s`
diametrals	dI-A-m@-'trA:ls
dianetikks	dI-A-'ne:-tIks
diareer	dI-A-'re:-@r
diarias	dI-'A:-rI-As
diarienes	dI-'A:-rI-@-n@s
diatonisk	dI-A-'tu:-nIsk
didaktikk	dI-dAk-'tIk
didaktikken	dI-dAk-'tI-k@n
didaktisk	dI-'dAk-tIsk
didaktisks	dI-'dAk-tIsks
Diderik	'dI-drIk
di	'di:	functional
diemal	dI-@-'mA:l
dier	"di:-@r
dieseldriftene	'di:-sl=-%drIf-tn=-@
dieseldrifter	'di:-sl=-%drIf-t@r
dieselforurenset	'di:-sl=-fO-ru0-%rEn-s@t
dieselolje	'di:-s@l-%Ol-j@
dieseloljen	'di:-s@l-%Ol-j@n
dieseltank	'di:-sl=-%tANk
Diesen	"di:-sn=
Dietmar	'dIt-mAr
dietters	dI-'E-t@s`
dietylbarbitursyrene	dI-@-'ty:l-bAr-bI-t}:r-%sy:-n`=-@
dietylbarbitursyrers	dI-@-'ty:l-bAr-bI-t}:r-%sy:-r@s`
dietyleterers	dI-@-'ty:-%le:-t@-r@s`
dietyleternes	dI-@-'ty:-%le:-t@r-n`@s
dietyleters	dI-@-'ty:-%le:-t@s`
differansene	dI-f@-'rAN-sn=-@
differenser	dI-f@-'rAN-s@r
differensialbremsen	dI-f@-r@n-sI-'A:l-%brEm-sn=
differensialbremsens	dI-f@-r@n-sI-'A:l-%brEm-sn=s
differensialbremsers	dI-f@-r@n-sI-'A:l-%brEm-s@s`
differensialkoblinger	dI-f@-r@n-sI-'A:l-%kO-blIN-@r
differensialkoplingers	dI-f@-r@n-sI-'A:l-%kO-plIN-@s`
differensialligningen	dI-f@-r@n-sI-'A:l-%lIN-nIN-@n
differensiallikning	dI-f@-r@n-sI-'A:l-%lI-knIN
differensialregninga	dI-f@-r@n-sI-'A:l-%r{*I-nIN-A
differensialregningens	dI-f@-r@n-sI-'A:l-%r{*I-nIN-@ns
differensialregninger	dI-f@-r@n-sI-'A:l-%r{*I-nIN-@r
differensialrekning	dI-f@-r@n-sI-'A:l-%rE-knIN
differensialreknings	dI-f@-r@n-sI-'A:l-%rE-knINs
differensialsperrens	dI-f@-r@n-sI-'A:l-%sp{-n`=s
differensialsperrers	dI-f@-r@n-sI-'A:l-%sp{-r@s`
differensialsperres	dI-f@-r@n-sI-'A:l-%sp{-r@s
differensiasjonen	dI-f@-r@n-sI-A-'Su:-nn=
differensierer	dI-f@-rAN-sI-'e:-r@r
differensieringa	dI-f@-rAN-sI-'e:-rIN-A
differensieringers	dI-f@-rAN-sI-'e:-rIN-@s`
differensierts	dI-f@-rAN-sI-'e:t`s`
differering	dI-f@-'re:-rIN
differert	dI-f@-'re:t`
differerte	dI-f@-'re:-t`@
diffraksjonen	dI-frAk-'Su:-nn=
diffundere	dI-fu0n-'de:-r@
diffunderende	dI-fu0n-'de:-n`=-@
diffusjonenes	dI-fu0-'Su:-nn=-@s
diffusjonens	dI-fu0-'Su:-nn=s
diffusjons	dI-fu0-'Su:ns
diffusjonsteori	dI-fu0-'Su:ns-t@-U-%ri:
difteribasiller	dIf-t@-'ri:-bA-%sI-l@r
difteris	dIf-t@-'ri:s
difteriseruma	dIf-t@-'ri:-%se:-ru0-mA
difteriserums	dIf-t@-'ri:-%se:-ru0ms
difterisks	dIf-'te:-rIsks
difterittens	dIf-t@-'rI-tn=s
difterittseruma	dIf-t@-'rIt-s@-%ru0-mA
diftong	dIf-'tON
diftongenes	dIf-'tON-@-n@s
diftongerer	dIf-tON-'ge:-r@r
digelen	'di:-g@ln
digelens	'di:-g@lns
digelomnene	"di:-g@l-%Om-nn=-@
digelomnens	"di:-g@l-%Om-nn=s
digelovn	'di:-g@l-%Ovn
digelovners	'di:-g@l-%Ov-n@s`
Digermulen	'di:-g@r-%m}:-ln=
digert	'di:-g@t`
digger	"dI-g@r
diggere	"dI-g@-r@
digitalisere	dI-gI-tA-lI-'se:-r@
digitaliserendes	dI-gI-tA-lI-'se:-n`=-@s
digitaliseres	dI-gI-tA-lI-'se:-r@s
digitaliserte	dI-gI-tA-lI-'se:-t`@
digitalts	dI-gI-'tA:lts
diglossien	dI-glO-'si:-@n
dignitærs	dIN-nI-'t{:s`
dignitar	dIN-nI-'tA:r
dignitaren	dIN-nI-'tA:-n`=
dignitarenes	dIN-nI-'tA:-n`=-@s
dignitars	dIN-nI-'tA:s`
dignitetens	dIN-nI-'te:-tn=s
digre	"di:-gr@
digresjonen	dI-gr@-'Su:-nn=
digresjonene	dI-gr@-'Su:-nn=-@
digresjonenes	dI-gr@-'Su:-nn=-@s
digrestes	"di:-gr@-st@s
dikemyrenes	"di:-k@-%my:-n`=-@s
dikker	"dI-k@r
dikket	"dI-k@t
diklordifenyltrikloretanen	'dI-klU-d`I-f@-ny:l-trI-klU-r@-%tA:-nn=
diktafonen	dIk-tA-'fu:-nn=
diktafons	dIk-tA-'fu:ns
diktatens	dIk-'tA:-tn=s
diktaters	dIk-'tA:-t@s`
diktator	dIk-'tA:-tUr
diktatorer	dIk-'tA:-tU-r@r
diktatorers	dIk-'tA:-tU-r@s`
diktators	dIk-'tA:-tUs`
diktats	dIk-'tA:ts
diktaturas	dIk-tA-'t}:-rAs
diktaturenes	dIk-tA-'t}:-n`=-@s
diktaturstatens	dIk-tA-'t}:r-%stA:-tn=s
diktbok	'dIkt-%bu:k
diktekunsten	"dIk-t@-%ku0n-stn=
dikterårenes	"dIk-t@r-%o:-n`=-@s
dikterårens	"dIk-t@r-%o:-n`=s
dikterårer	"dIk-t@r-%o:-r@r
dikteråres	"dIk-t@r-%o:-r@s
dikter	"dIk-t@r
dikterendes	dIk-'te:-n`=-@s
dikterevnenes	"dIk-t@r-%Ev-nn=-@s
dikterevner	"dIk-t@r-%Ev-n@r
dikteringsmaskinens	dIk-'te:-rINs-mA-%Si:-nn=s
dikterkunsten	"dIk-t@r-%ku0n-stn=
diktermaskinenes	dIk-'te:r-mA-%Si:-nn=-@s
dikternaturene	"dIk-t@r-nA-%t}:-n`=-@
dikternaturers	"dIk-t@r-nA-%t}:-r@s`
diktes	"dIk-t@s
diktform	'dIkt-%fOrm
diktsamlinga	'dIkt-%sAm-lIN-A
diktsamlings	'dIkt-%sAm-lINs
dikts	'dIkts
diktverka	'dIkt-%v{r-kA
diktverkenes	'dIkt-%v{r-k@-n@s
diktverkers	'dIkt-%v{r-k@s`
dilettanten	dI-l@-'tAn-tn=
dilettantene	dI-l@-'tAn-tn=-@
dilettanteri	dI-l@-tAn-t@-'ri:
dilettantmessige	dI-l@-'tAnt-%mE-sI-@
diligencene	dI-lI-'SAN-sn=-@
diligences	dI-lI-'SAN-s@s
dillet	"dI-l@t
dilletes	"dI-l@-t@s
Dillingen	'dI-lIN-@n
dillkvast	'dIl-%kvAst
dilten	'dIl-tn=
diluvia	dI-'lu0-vI-A
diluviansks	dI-lu0-vI-'A:nsks
dimenes	'dA*I-m@-n@s
dimensjonaleres	dI-m@n-SU-'nA:-l@-r@s
diminutivendelses	dI-'mI-nu0-ti:v-%E-nl=-s@s
diminutivendinga	dI-'mI-nu0-ti:v-%E-nIN-A
diminutivendingas	dI-'mI-nu0-ti:v-%E-nIN-As
diminutivendingen	dI-'mI-nu0-ti:v-%E-nIN-@n
diminutivers	dI-'mI-nu0-%ti:-v@s`
diminutivforms	dI-'mI-nu0-ti:v-%fOrms
dimissprekeners	dI-'mIs-%pre:-k@-n@s`
Dimitris	dI-'mi:-trIs
Dimitrova	dI-'mi:-trO-vA
dimitterende	dI-mI-'te:-n`=-@
dimittertes	dI-mI-'te:-t`@s
dimme	"dI-m@
dimnest	'dIm-n@st
dimorfismen	dI-mOr-'fI-sm@n
dimorft	dI-'mOrft
Dina	"di:-nA
din	'dIn	functional
dine	"di:-n@	functional
dinerene	dI-'ne:-@-n@
dinerenes	dI-'ne:-@-n@s
dinerers	dI-'ne:-@s`
diners	dI-'ne:s
dingeldangel	'dIN-@l-%dAN-@l
dinglets	"dIN-l@ts
dingoenes	'dIN-gU-@-n@s
dingoers	'dIN-gU-@s`
Dingolfing	'dIN-%gOl-fIN
dings	'dINs
Dino	'di:-nU
dinoflagellater	'di:-nU-flA-g@-%lA:-t@r
dinosaur	dI-nU-'sE*u0r
DinSide	dIn-"si:-d@
Dinslaken	'dIn-%slA:-k@n
diøciske	dI-'2:-sI-sk@
dioksinas	dI-Ok-'si:-nAs
dionysiskes	dI-U-'ny:-sI-sk@s
diopter	dI-'Op-t@r
dioptersikta	dI-'Op-t@r-%sIk-tA
dioptersikter	dI-'Op-t@r-%sIk-t@r
dioptersiktes	dI-'Op-t@r-%sIk-t@s
dioptres	dI-'Op-tr@s
diplokokkene	dI-plU-'kO-k@-n@
diplokokks	dI-plU-'kOks
diplomas	dI-'plu:-mAs
diplomatarium	dI-plU-mA-'tA:-rI-u0m
diplomaters	dI-plU-'mA:-t@s`
diplomatfrakk	dI-plU-'mA:t-%frAk
diplomati	dI-plU-mA-'ti:
diplomatiet	dI-plU-mA-'ti:-@
diplomatiske	dI-plU-'mA:-tI-sk@
diplomatisks	dI-plU-'mA:-tIsks
diplomatkorpsenes	dI-plU-'mA:t-%kOrp-sn=-@s
diplomatkorpset	dI-plU-'mA:t-%kOrp-s@
diplomatlivet	dI-plU-'mA:t-%li:-v@
diplomeksamenen	dI-'plu:m-@k-%sA:-m@-nn=
diplomet	dI-'plu:-m@
diplomingeniører	dI-'plu:m-In-S@-nI-%2:-r@r
diplomingeniørs	dI-'plu:m-In-s`@-nI-%2:s`
Diplom-Is	dI-'plu:m-%i:s
diplomøkonomer	dI-'plu:m-9-kU-%nu:-m@r
dipolantennene	'di:-pu:l-An-%tE-nn=-@
dipolantennes	'di:-pu:l-An-%tn=-@s
dipolmolekyla	'di:-pu:l-mU-l@-%ky:-lA
dipolmolekylets	'di:-pu:l-mU-l@-%ky:-l@ts
direksjon	dI-r@k-'Su:n
direksjonen	dI-r@k-'Su:-nn=
direksjonene	dI-r@k-'Su:-nn=-@
direksjonens	dI-r@k-'Su:-nn=s
direksjoners	dI-r@k-'Su:-n@s`
direksjonssekretær	dI-r@k-'Su:ns-s@-kr@-%t{:r
direktenens	dI-'rEk-tn=-@ns
direktesalgets	dI-'rEk-t@-%sAl-g@ts
direktesendt	dI-'rEk-t@-%sEnt
direktevalg	dI-'rEk-t@-%vAlg
direktivets	dI-r@k-'ti:-v@ts
direktoratets	dI-r@k-tU-'rA:-t@ts
direktørenes	dI-r@k-'t2:-n`=-@s
dirigenten	dI-rI-'gEn-tn=
dirigentens	dI-rI-'gEn-tn=s
dirigenter	dI-rI-'gEn-t@r
dirigentklubba	dI-rI-'gEnt-%klu0-bA
dirigentstokk	dI-rI-'gEnt-%stOk
dirkende	"dIr-k@-n@
dirket	"dIr-k@t
dirre	"dI-r@
dirrens	'dI-r@ns
dirrer	"dI-r@r
dirrets	'dI-r@ts
disas	'di:-sAs
disc-jockey	'dIsk-%jO-kI
